complex_area,sch_code,sch_name,url,ProbableSuffix
Castle-Kahuku,301,Castle High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/301SSIR-4.pdf,4
Kailua-Kalaheo,302,Enchanted Lake Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/302SSIR-4.pdf,4
Castle-Kahuku,303,Hauula Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/303SSIR-4.pdf,4
Castle-Kahuku,304,Heeia Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/304SSIR-4.pdf,4
Castle-Kahuku,305,Kaaawa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/305SSIR-4.pdf,4
Castle-Kahuku,306,Kahaluu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/306SSIR-4.pdf,4
Castle-Kahuku,307,Kahuku High & Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/307SSIR-4.pdf,4
Kailua-Kalaheo,308,Kailua Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/308SSIR-4.pdf,4
Kailua-Kalaheo,309,Kailua High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/309SSIR-4.pdf,4
Kailua-Kalaheo,310,Kailua Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/310SSIR-4.pdf,4
Kailua-Kalaheo,311,Kainalu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/311SSIR-4.pdf,4
Kailua-Kalaheo,312,Kalaheo High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/312SSIR-4.pdf,4
Castle-Kahuku,313,Kaneohe Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/313SSIR-4.pdf,4
Castle-Kahuku,314,Puohala Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/314SSIR-4.pdf,4
Castle-Kahuku,315,Kapunahala Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/315SSIR-4.pdf,4
Kailua-Kalaheo,317,Keolu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/317SSIR-4.pdf,4
Castle-Kahuku,318,King Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/318SSIR-4.pdf,4
Castle-Kahuku,319,Laie Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/319SSIR-4.pdf,4
Kailua-Kalaheo,321,Maunawili Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/321SSIR-4.pdf,4
Kailua-Kalaheo,322,Mokapu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/322SSIR-4.pdf,4
Castle-Kahuku,323,Parker Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/323SSIR-4.pdf,4
Kailua-Kalaheo,324,Pope Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/324SSIR-4.pdf,4
Castle-Kahuku,325,Sunset Beach Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/325SSIR-4.pdf,4
Castle-Kahuku,326,Waiahole Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/326SSIR-4.pdf,4
Kailua-Kalaheo,327,Waimanalo Elem & Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/327SSIR-4.pdf,4
Kailua-Kalaheo,330,Kaelepulu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/330SSIR-4.pdf,4
Castle-Kahuku,331,Kahuku Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/331SSIR-4.pdf,4
Castle-Kahuku,335,Ahuimanu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/335SSIR-4.pdf,4
Hilo-Waiakea,351,DeSilva Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/351SSIR-5.pdf,5
Hilo-Waiakea,352,Haaheo Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/352SSIR-5.pdf,5
Kau-Keaau-Pahoa,353,Keaau Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/353SSIR-5.pdf,5
Kau-Keaau-Pahoa,354,Keaau High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/354SSIR-5.pdf,5
Hilo-Waiakea,355,Hilo High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/355SSIR-5.pdf,5
Hilo-Waiakea,356,Hilo Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/356SSIR-5.pdf,5
Hilo-Waiakea,357,Hilo Union Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/357SSIR-5.pdf,5
Honokaa-Kealakehe-Kohala-Konawaena,358,Holualoa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/358SSIR-5.pdf,5
Honokaa-Kealakehe-Kohala-Konawaena,359,Honaunau Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/359SSIR-5.pdf,5
Honokaa-Kealakehe-Kohala-Konawaena,360,Honokaa High & Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/360SSIR-5.pdf,5
